n,Tiempo
5,44
6,126
7,266
8,564
9,1138
10,2255
11,4497
12,9159
13,18053
14,36459
15,72156
16,144149
17,287921
18,581433
19,1.15063e+06
20,2.49708e+06
21,4.25638e+06
22,9.99066e+06
23,1.70269e+07
24,3.99661e+07
25,6.83276e+07
26,1.59869e+08
27,2.73088e+08
28,6.39481e+08
29,1.09933e+09
30,2.55795e+09
