n,Tiempo
5,19
6,18
7,17
8,18
9,18
10,18
11,17
12,17
13,17
14,20
15,19
16,19
17,17
18,20
19,19
20,20
21,20
22,20
23,20
24,18
25,18
26,17
27,18
28,19
29,17
30,18
