n,Tiempo
5,611
6,1129
7,2124
8,4179
9,8200
10,16207
11,32234
12,64321
13,122411
14,245047
15,482813
16,985893
17,1.97448e+06
18,3.93506e+06
19,7.85425e+06
20,1.5764e+07
21,3.15253e+07
22,6.27811e+07
23,1.25524e+08
24,2.51084e+08
25,5.01829e+08
26,1.00253e+09
27,2.00545e+09
28,4.00578e+09
29,8.01286e+09
30,1.60714e+10
