n,Tiempo
5,492
6,782
7,1094
8,1826
9,2600
10,4351
11,6235
12,14659
13,20951
14,34473
15,48504
16,79039
17,115137
18,178426
19,249360
20,404992
21,564421
22,921196
23,1.28275e+06
24,2.09122e+06
25,2.89988e+06
26,4.63576e+06
27,6.43496e+06
28,1.05863e+07
29,1.48163e+07
30,2.51167e+07
31,3.53e+07
32,5.91242e+07
33,8.4278e+07
34,1.37693e+08
35,1.90465e+08
36,3.0507e+08
37,4.201e+08
38,6.59057e+08
39,9.09161e+08
40,1.41764e+09
41,1.93973e+09
42,3.01053e+09
