n,Tiempo
5,493
6,776
7,1083
8,1791
9,2562
10,4369
11,6268
12,14438
13,20689
14,34216
15,48305
16,79010
17,110793
18,178033
19,248716
20,404877
21,568804
22,933061
23,1.29445e+06
24,2.0952e+06
25,2.89545e+06
26,4.63813e+06
27,6.45589e+06
28,1.07623e+07
29,1.54667e+07
30,2.61302e+07
